x,y,code,title,major_group
4.801468,7.988724,3123,Construction Supervisors,3
10.453017,3.44503,313,Process Control Technicians,3
10.527602,3.3145132,3131,Power Production Plant Operators,3
10.615137,3.3873367,3132,Incinerator and Water Treatment Plant Operators,3
10.720131,3.3283763,3133,Chemical Processing Plant Controllers,3
10.5890665,3.4020529,3134,Petroleum and Natural Gas Refining Plant Operators,3
10.775665,3.4380012,3135,Metal Production Process Controllers,3
8.438072,7.2756133,3139,Process Control Technicians Not Elsewhere Classified,3
9.72008,7.6391144,314,Life Science Technicians and Related Associate Professionals,3
9.800632,7.6908417,3141,Life Science Technicians (excluding Medical),3
9.84394,7.58115,3142,Agricultural Technicians,3
9.751748,2.8040864,3143,Forestry Technicians,3
11.140188,7.118683,315,Ship and Aircraft Controllers and Technicians,3
10.699712,6.8727427,3151,Ships' Engineers,3
8.6196375,2.8471975,3152,Ships' Deck Officers and Pilots,3
11.0910015,7.089756,3153,Aircraft Pilots and Related Associate Professionals,3
11.129878,7.2692366,3154,Air Traffic Controllers,3
10.949012,7.3016376,3155,Air Traffic Safety Electronics Technicians,3
8.454845,8.531514,32,Health Associate Professionals,3
9.825329,8.441378,321,Medical and Pharmaceutical Technicians,3
9.930976,8.425101,3211,Medical Imaging and Therapeutic Equipment Technicians,3
9.81603,8.277276,3212,Medical and Pathology Laboratory Technicians,3
9.670528,8.512266,3213,Pharmaceutical Technicians and Assistants,3
9.766946,8.532622,3214,Medical and Dental Prosthetic Technicians,3
8.468999,8.935495,322,Nursing and Midwifery Associate Professionals,3
8.412923,8.829063,3221,Nursing Associate Professionals,3
8.464749,8.911018,3222,Midwifery Associate Professionals,3
9.199581,9.12362,323,Traditional and Complementary Medicine Associate Professionals,3
9.104408,9.176694,3230,Traditional and Complementary Medicine Associate Professionals,3
9.633686,8.071289,324,Veterinary Technicians and Assistants,3
9.590764,8.137924,3240,Veterinary Technicians and Assistants,3
8.615917,8.623134,325,Other Health Associate Professionals,3
9.225881,8.518476,3251,Dental Assistants and Therapists,3
9.901594,8.452946,3252,Medical Records and Health Information Technicians,3
8.105898,8.771809,3253,Community Health Workers,3
9.525399,8.620435,3254,Dispensing Opticians,3
9.481937,8.705319,3255,Physiotherapy Technicians and Assistants,3
9.032088,8.614016,3256,Medical Assistants,3
8.848968,7.954982,3257,Environmental and Occupational Health Inspectors and Associates,3
8.821118,8.936849,3258,Ambulance Workers,3
8.307946,8.088012,3259,Health Associate Professionals Not Elsewhere Classified,3
6.250139,7.3428397,33,Business and Administration Associate Professionals,3
6.2878823,6.8703666,331,Financial and Mathematical Associate Professionals,3
5.2765756,6.6831865,3311,Securities and Finance Dealers and Brokers,3
6.3918796,6.617444,3312,Credit and Loans Officers,3
6.326058,6.8697543,3313,Accounting Associate Professionals,3
6.3893857,6.7217565,3314,"Statistical, Mathematical and Related Associate Professionals",3
5.873216,6.4979005,3315,Valuers and Loss Assessors,3
5.2001047,6.6136203,332,Sales and Purchasing Agents and Brokers,3
5.5220356,6.7198315,3321,Insurance Representatives,3
5.1528716,6.8003755,3322,Commercial Sales Representatives,3
5.1354847,6.443086,3323,Buyers,3
5.199447,6.5742497,3324,Trade Brokers,3
5.3902745,6.608663,333,Business Services Agents,3
5.4281487,6.3925467,3331,Clearing and Forwarding Aents,3
8.932673,6.341342,3332,Conference and Event Planners,3
5.414543,6.5559273,3333,Employment agents and contractors,3
5.359986,6.7846794,3334,Real Estate Agents and Property Managers,3
5.6790085,6.679908,3339,Business Services Agents Not Elsewhere Classified,3
6.9881887,6.951907,334,Administrative and Specialized Secretaries,3
7.565773,7.23843,3341,Office Supervisors,3
7.1091385,7.348622,3342,Legal Secretaries,3
6.926098,6.9571323,3343,Administrative and Executive Secretaries,3
7.123806,7.024682,3344,Medical Secretaries,3
6.7030983,7.806915,335,Government Regulatory  Associate Professionals,3
6.727805,7.9073815,3351,Customs and Border Inspectors,3
6.4830623,7.7345924,3352,Government Tax and Excise Officials,3
6.442863,7.82218,3353,Government Social Benefits Officials,3
6.5430536,7.8421965,3354,Government Licensing Officials,3
6.9903455,7.997026,3355,Police Inspectors and Detectives,3
7.791995,7.4756675,3359,Government Regulatory AssociatePprofessionals Not Elsewhere Classified,3
7.4317756,7.919611,34,"Legal, Social, Cultural and Related Associate Professionals",3
7.4812183,8.110759,341,"Legal, Social and Religious Associate Professionals",3
7.310609,7.7507553,3411,Legal and Related Associate Professionals,3
7.5159187,8.381899,3412,Social Work Associate Professionals,3
7.4343047,8.230358,3413,Religious Associate Professionals,3
6.512038,8.617442,342,Sports and Fitness Workers,3
6.5244474,8.587436,3421,Athletes and Sports Players,3
6.46639,8.594924,3422,"Sports Coaches, Instructors and Officials",3
6.340014,8.724056,3423,Fitness and Recreation Instructors and Programme Leaders,3
8.271409,5.9909635,343,"Artistic, Cultural and Culinary Associate Professionals",3
9.441194,5.1296167,3431,Photographers,3
9.405707,5.979762,3432,Interior Designers and Decorators,3
7.416393,5.848719,3433,"Gallery, Museum and Library Technicians",3
6.9520164,4.680263,3434,Chefs,3
8.04712,7.2285156,3435,Other Artistic and Cultural Associate Professionals,3
11.209354,7.9779725,35,Information and Communications Technicians,3
11.290812,7.9049797,351,Information and Communications Technology Operations and User Support Technicians,3
11.257972,7.7977166,3511,Information and Communications Technology Operations Technicians,3
11.29862,7.881928,3512,Information and Communications Technology User Support Technicians,3
11.351395,7.931947,3513,Computer Network and Systems Technicians,3
11.354213,7.9767985,3514,Web Technicians,3
11.108063,7.5513544,352,Telecommunications and Broadcasting Technicians,3
